company,rank,revenue,profit,num. of employees,Market Cap
Ameren,500,6394,990,9116,24198.7
O-I Glass,501,6357,149,24000,2058
Chemours,502,6345,608,6400,5015
Crown Castle International,503,6340,1096,5000,79937.3
Agilent Technologies,504,6319,1210,17000,39714
McCormick,505,6317.9,755.3,14000,19156
Skechers U.S.A.,506,6310.2,741.5,8950,6360.4
Watsco,507,6280.2,418.9,6875,11842.6
Live Nation Entertainment,508,6268.4,-650.9,16200,26425
Lululemon athletica,509,6256.6,975.3,29000,46717.8
ABM Industries,510,6228.6,126.3,124000,3078.7
Post Holdings,511,6226.7,166.7,10735,4284.4
Moody's,512,6218,2214,13460,62548.1
Select Medical Holdings,513,6204.5,402.2,43200,3208.6
Alaska Air Group,514,6176,478,21691,7314.3
Big Lots,515,6150.6,177.8,23350,988.1
Amkor Technology,516,6138.3,643,30400,5313
Sinclair Broadcast Group,517,6134,-414,11500,2008.1
RPM International,518,6106.3,502.6,15490,10560.8
M&T Bank,519,6105.8,1858.7,17342,21875
Sprouts Farmers Market,520,6099.9,244.2,31000,3546.8
Huntington Bancshares,521,6080,1295,18442,21123.4
CACI International,522,6044.1,457.4,22000,7051.2
JetBlue Airways,523,6037,-182,17459,4786.9
SVB Financial Group,524,6027,1833,6567,32901
Fastenal,525,6010.9,925,18370,34187.9
GameStop,526,6010.7,-381.3,22500,12716.6
Knight-Swift Transportation Holdings,527,5998,743.4,27650,8386
Airbnb,528,5991.8,-352,6132,110419.9
Patterson,529,5912.1,156,7800,3160
PENN Entertainment,530,5905,420.8,21973,7140.2
ServiceNow,531,5896,230,16881,70419
Nasdaq,532,5886,1187,5814,29298.2
Brunswick,533,5846.2,593.3,18582,6197.3
Resideo Technologies,534,5846,242,13300,3455.8
Chesapeake Energy,535,5809,,1300,11135.9
Petco Health and Wellness,536,5807.1,164.4,28495,5930.2
Kemper,537,5793,-120.5,10300,3606
Hilton Worldwide Holdings,538,5788,410,142000,42356.6
Cerner,539,5764.8,555.6,25150,27492.2
Levi Strauss,540,5763.9,553.5,16600,5740
Tapestry,541,5746.3,834.2,14250,9807.2
NetApp,542,5744,730,11000,18470.5
KB Home,543,5724.9,564.7,2244,2858.1
Continental Resources,544,5719.3,1661,1254,22342.4
Intuitive Surgical,545,5710.1,1704.6,9793,108361.9
Under Armour,546,5683.5,360.1,12300,7712.4
MDU Resources Group,547,5680.7,378.1,12826,5419.3
Silgan Holdings,548,5677.1,359.1,15720,5104.3
Ryerson Holding,549,5675.3,294.3,4000,1344.6
Ingersoll Rand,550,5655.2,562.5,16000,20541.2
Hologic,551,5632.3,1871.5,6705,16063
Electronic Arts,552,5629,837,11000,35577.4
Zebra Technologies,553,5627,837,9800,21959.1
Coty,554,5616.2,-201.3,11430,7540.6
Schneider National,555,5608.7,405.4,17050,4551.6
Sonoco Products,556,5590.4,-85.5,20500,6099.1
Concentrix,557,5587,405.6,290000,8605.2
Evergy,558,5586.7,879.7,4930,15512.7
Cornerstone Building Brands,559,5583.1,665.9,21700,3088.7
Coca-Cola Consolidated,560,5562.7,189.6,15050,4657.3
Greif,561,5556.1,390.7,16000,3134
Vulcan Materials,562,5552.2,670.8,11912,24412.7
Ametek,563,5546.5,990.1,18500,30787.3
Monster Beverage,564,5541.4,1377.5,3775,42295.8
Sealed Air,565,5533.8,506.8,16500,9920.7
NOV,566,5524,-250,27043,7700.2
Las Vegas Sands,567,5505,-961,44600,29696.4
Martin Marietta Materials,568,5493.2,702.5,10000,24015.1
Marathon Oil,569,5467,946,1531,18349.5
Mattel,570,5457.7,903,36300,7823.3
Microchip Technology,571,5438.4,349.4,19500,41777.1
Harley-Davidson,572,5336.3,650,5800,6062.9
Telephone & Data Systems,573,5329,156,8800,2163.4
ADT,574,5307.1,-340.8,25000,6843
First Republic Bank,575,5305,1478,6295,29113.6
Warner Music Group,576,5301,304,5900,19485.7
Pool,577,5295.6,650.6,5650,12608
Old Dominion Freight Line,578,5256.3,1034.4,23663,34307.5
Fortive,579,5254.7,608.4,18000,21877.9
MDC Holdings,580,5254.7,573.7,2080,2692.7
NGL Energy Partners,581,5243.2,-639.8,997,288.6
Edwards Lifesciences,582,5232.5,1503.1,15700,73141.4
Hanover Insurance Group,583,5227.8,418.7,4400,5317.9
Syneos Health,584,5213,234.8,27443,8436.7
Xylem,585,5195,427,16700,15354.7
Church & Dwight,586,5190.1,827.5,5100,24119.1
American Axle & Manufacturing,587,5156.6,5.9,18000,888.3
Meritage Homes,588,5141.3,737.4,1773,2907.3
Workday,589,5138.8,29.4,15200,60583.4
Rush Enterprises,590,5126.1,241.4,7141,2788.5
Yellow,591,5121.8,-109.1,32000,360.3
Encompass Health,592,5121.6,412.2,35681,7071.1
Simon Property Group,593,5116.8,2249.6,2850,43197.8
Globe Life,594,5112.9,745,3222,9977.3
Skyworks Solutions,595,5109.1,1498.3,10945,21547.5
Endeavor Group Holdings,596,5077.7,-296.6,7700,20363.1
Twitter,597,5077.5,-221.4,7500,30976.8
Leggett & Platt,598,5072.6,402.4,20300,4659
Western Union,599,5070.8,805.8,10500,7374.7
PerkinElmer,600,5067.2,943.2,16700,15984
SS&C Technologies Holdings,601,5051,800,24900,19235.1
CUNA Mutual Group,602,5049.5,622.3,4100,
FMC,603,5045.2,736.5,6400,16563.8
Carlisle,604,5030,421.7,11250,12804.5
American Eagle Outfitters,605,5010.8,419.6,24000,2836.6
Core & Main,606,5004,166,4100,5948.8
Vertiv Holdings,607,4998.1,119.6,24000,5263.9
Broadridge Financial Solutions,608,4993.7,547.5,13704,18182.7
Ingles Markets,609,4987.9,249.7,18460,1691.4
TPG,610,4976.4,2180.9,1013,9304.9
Insperity,611,4973.1,124.1,3600,3849.8
Howmet Aerospace,612,4972,258,19900,15055.4
R.R. Donnelley & Sons,613,4963.7,3.7,32000,289.9
Keysight Technologies,614,4941,894,14300,28746.6
Tempur Sealy International,615,4930.8,624.5,12000,4506
Scotts Miracle-Gro,616,4925,512.5,8050,6834.6
Equifax,617,4923.9,744.2,12700,29141.8
Kelly Services,618,4909.7,156.1,7400,856
NiSource,619,4899.6,584.9,7307,12891.2
OneMain Holdings,620,4895,1314,8800,6042.8
DoorDash,621,4888,-468,8600,40830.3
Avient,622,4818.8,230.8,8700,4388.4
Sanderson Farms,623,4799.7,455.1,17662,4185.4
TransDigm Group,624,4798,680,13300,36135.8
Stifel Financial,625,4783.1,824.9,8600,7226
JELD-WEN Holding,626,4771.7,168.8,24700,1826
Ares Management,627,4770.6,408.8,2100,18940
Elanco Animal Health,628,4765,-472,9800,12345.4
Prologis,629,4759.4,2939.7,2053,119524.5
Welltower,630,4742.1,336.1,464,43001.5
Darling Ingredients,631,4741.4,650.9,9900,12987.4
Juniper Networks,632,4735.4,252.7,10191,11986.6
Gartner,633,4734,793.6,16600,24477.2
Par Pacific Holdings,634,4710.1,-81.3,1336,783.3
Hubbell,635,4703.5,399.5,18300,9959.6
CME Group,636,4689.7,2636.4,3480,85492.3
Nexstar Media Group,637,4648.4,834.6,11817,6883
Tutor Perini,638,4641.8,91.9,7800,551.8
Antero Resources,639,4619.4,-186.9,519,9608
Teledyne Technologies,640,4614.3,445.3,14500,22102.9
Snap-on,641,4601.7,820.5,12800,10976.1
Rent-A-Center,642,4583.5,134.9,14290,1486.9
Covetrus,643,4575,-54,4873,2319.3
Crestwood Equity Partners,644,4569,-78.5,645,2931.5
Louisiana-Pacific,645,4553,1377,4800,4071
Urban Outfitters,646,4548.8,310.6,16330,2421.4
Penn Mutual Life Insurance,647,4545.6,522.9,3194,
Amerco,648,4542,610.9,22052,11704.7
TriNet Group,649,4540,338,2800,6482.5
Sentry Insurance Group,650,4526.2,739.9,4064,
Illumina,651,4526,762,10775,54855.8
Iron Mountain,652,4491.5,450.2,25000,16059.5
LCI Industries,653,4472.7,287.7,13900,2624.5
Marvell Technology,654,4462.4,-421,6712,60795.7
PennyMac Financial Services,655,4450.2,1003.5,7208,2368
Digital Realty Trust,656,4427.9,1709.3,3030,40337.7
TreeHouse Foods,657,4405.5,-12.5,10000,1800
Ralph Lauren,658,4400.8,-121.1,16200,8073.2
Mattress Firm Group,659,4392.9,-165.1,8900,
American National Group,660,4391.8,699.3,4545,5084.1
Autodesk,661,4386.4,497,12600,46580
Domino's Pizza,662,4357.4,510.5,10450,14665.9
ASGN,663,4333.8,409.9,3900,6022.2
Flowers Foods,664,4330.8,206.2,8900,5438.6
BlueLinx Holdings,665,4277.2,296.1,2045,699.5
Palo Alto Networks,666,4256.1,-498.9,10473,61307.5
Maximus,667,4254.5,291.2,35800,4641.1
Dentsply Sirona,668,4251,421,15000,10708
Hub Group,669,4232.4,171.5,4700,2678.5
Bread Financial Holdings,670,4230,801,6000,2804.6
Voya Financial,670,4230,2126,5970,7042.2
Weis Markets,672,4224.4,108.8,24000,1921.1
Century Communities,673,4216.3,498.5,1600,1388
Synopsys,674,4204.2,757.5,16361,51023.2
Brink's,675,4200.2,105.2,73350,3234.4
Lennox International,676,4194.1,464,11000,9447.2
Service Corp. International,677,4143.1,802.9,20840,10581.3
Conduent,678,4140,-28,60000,1111.6
Timken,679,4132.9,369.1,18029,4539.6
Domtar,680,4132,-27,6100,1856.2
Bloomin' Brands,681,4122.4,215.6,82000,1966.6
CNO Financial Group,682,4122.2,441,3350,2945.7
Snap,683,4117,-488,5661,58458.4
Zoom Video Communications,684,4099.9,1375.6,6787,22826
Patrick Industries,685,4078.1,224.9,11000,1408.2
Paychex,686,4056.8,1097.5,15000,49268
Atlas Air Worldwide Holdings,687,4030.8,493.3,4056,2523.4
Bright Health Group,688,4029.4,-1184.9,3203,1213.5
Peloton Interactive,689,4021.8,-189,8662,8760.9
Country Financial,690,4016.2,419.2,3149,
Qorvo,691,4015.3,733.6,8750,13456.4
Catalent,692,3998,585,17300,13377
Mercury General,693,3993.4,247.9,4300,3045.4
AMN Healthcare Services,694,3984.2,327.4,3800,4867
Tri Pointe Homes,695,3982.2,469.3,1390,2160.1
ArcBest,696,3980.1,213.5,14000,1979.7
Toro,697,3959.6,409.9,10982,8936.9
Spirit AeroSystems Holdings,698,3953,-540.8,16100,5130.6
Align Technology,699,3952.6,772,22540,34354.8
loanDepot,700,3943.2,113.5,11307,1290.3
APi Group,701,3940,47,13300,4891.1
American Water Works,702,3930,1263,6400,30085.5
Matson,703,3925.3,927.4,4259,2740
Diebold Nixdorf,704,3905.2,-78.8,22000,531.2
Marriott Vacations Worldwide,705,3890,49,20300,6620
Terex,706,3886.8,220.9,8600,2485.5
Sally Beauty Holdings,707,3875,239.9,29000,1720.5
Enovis,708,3854.3,71.7,16200,6419.3
IAC,709,3845.1,597.5,13200,9001.4
Meritor,710,3833,199,9600,2519.4
Ventas,711,3828,49,434,24676.2
GoDaddy,712,3815.7,242.3,6611,14018.7
Regal Rexnord,713,3810.3,209.9,30000,10002.1
Puget Energy,714,3805.7,260.8,3185,
Clean Harbors,715,3805.6,203.2,18300,6073.8
Pinnacle West Capital,716,3803.8,618.7,5872,8820
eXp World Holdings,717,3771.2,81.2,1669,3149.3
Mueller Industries,718,3769.3,468.5,5337,3100.4
Wynn Resorts,719,3763.7,-755.8,26950,9243.3
RH,720,3758.8,688.5,6100,7079
EPAM Systems,721,3758.1,481.7,58824,16870.7
M/I Homes,722,3745.9,396.9,1657,1262.2
Generac Holdings,723,3737.2,550.5,9248,9189
Mettler-Toledo International,724,3717.9,769,16700,31220.3
Abercrombie & Fitch,725,3712.8,263,19250,1619.5
Teradyne,726,3702.9,1014.6,5900,11211
American Equity Investment Life Holding,727,3689.5,474,850,3869.2
Southwest Gas Holdings,728,3680.5,200.8,12720,5233.6
Pitney Bowes,729,3673.6,-1.4,11500,900.1
Lamb Weston Holdings,730,3670.9,317.8,7800,8699.1
Alliant Energy,731,3669,659,3313,15670.6
Resolute Forest Products,732,3664,307,6900,991.7
Parsons,733,3660.8,64.1,15500,4012
Trimble,734,3659.1,492.7,11931,18122.7
OGE Energy,735,3653.7,737.3,2185,8164.2
Garrett Motion,736,3633,,7600,463.9
Winnebago Industries,737,3629.8,281.9,6532,1826
Ciena,738,3620.7,500.2,7205,9223.4
PriceSmart,739,3619.9,98,10400,2434.1
Advantage Solutions,740,3602.3,54.5,45000,2029.6
H&R Block,741,3588.6,683.9,38000,4284.6
iHeartMedia,742,3558.3,-159.2,9990,2728.1
Super Micro Computer,743,3557.4,111.9,4155,1963
Flowserve,744,3541.1,125.9,16000,4681.4
Charles River Laboratories International,745,3540.2,391,19300,14425.4
A.O. Smith,746,3538.9,487.1,13700,10032.2
Rithm Capital,747,3533.1,772.2,12296,5125
Medical Mutual of Ohio,748,3514.8,78.3,2834,
Granite Construction,749,3501.9,10.1,2600,1504.7
Valmont Industries,750,3501.6,195.6,11041,5083.4
Sprague Resources,751,3498.2,-68.9,757,433.7
Primoris Services,752,3497.6,115.6,10810,1269.8
Cboe Global Markets,753,3494.8,529,1196,12148.2
Carter's,754,3486.4,339.7,15900,3763.4
TopBuild,755,3486.2,324,13006,5987.1
SiteOne Landscape Supply,756,3475.7,238.4,5475,7255.5
Texas Roadhouse,757,3463.9,245.3,73300,5787.8
Akamai Technologies,758,3461.2,651.6,8700,19210
Brown-Forman,759,3461,903,4700,31376.6
Acuity Brands,759,3461,306.3,13000,6628.9
Navient,761,3454,717,5263,2592.3
Coterra Energy,762,3449,1158,936,21872.1
Option Care Health,763,3438.6,139.9,6334,5139
Floor & Decor Holdings,764,3433.5,283.2,9276,7490
Public Storage,765,3415.8,1953.3,5800,68438.2
Cabot,766,3409,250,4500,3871.1
Crane Holdings,767,3408,435.4,11000,6158.9
Atmos Energy,768,3407.5,665.6,4684,16182.8
Selective Insurance Group,769,3379.2,403.8,2440,5391.5
Take-Two Interactive Software,770,3372.8,588.9,6495,17744.1
Boyd Gaming,771,3369.8,463.8,15114,7234
Plexus,772,3368.9,138.9,19200,2298.6
ScanSource,773,3364.2,10.8,2200,890.8
Franchise Group,774,3362.7,363.8,11895,1669.6
NLV Financial,775,3350.8,392.1,1157,
CrossAmerica Partners,776,3350.5,21.7,2218,826.5
Mr. Cooper Group,777,3344,1454,8200,3369.4
Fortinet,778,3342.2,606.8,10195,39789
Brinker International,779,3337.8,131.6,59491,1701.9
Albemarle,780,3328,123.7,6000,25899.4
Peabody Energy,781,3318.3,360.1,4900,3391.5
Light & Wonder,782,3310,371,5600,5679.7
Evercore,783,3307.1,740.1,1940,4275.1
Stewart Information Services,784,3305.8,323.2,7300,1181
Central Garden & Pet,785,3303.7,151.7,6750,2286.5
GMS,786,3298.8,105.6,5843,2142.1
H.B. Fuller,787,3278,161.4,6500,3505.2
Middleby,788,3250.8,488.5,10624,8961.1
Renewable Energy Group,789,3244.1,213.8,1196,3056.2
MSC Industrial Direct,790,3243.2,216.9,6472,4758.3
Vishay Intertechnology,791,3240.5,298,22800,2840.1
Applied Industrial Technologies,792,3235.9,144.8,5947,3947.9
Lincoln Electric Holdings,793,3234.2,276.5,11000,8079.1
First Horizon,794,3234,999,7676,12542.9
Spirit Airlines,795,3230.8,-472.6,9823,2375.4
AptarGroup,796,3227.2,244.1,13000,7702.9
Citrix Systems,797,3217.2,307.5,9700,12704.6
IDEXX Laboratories,798,3215.4,744.8,10350,46089.3
Tetra Tech,799,3213.5,232.8,21000,8906.7
Lyft,800,3208.3,-1009.4,4453,13384.6
Gannett,801,3208.1,-135,16300,643.9
ResMed,802,3196.8,474.5,7970,35463.3
Designer Brands,803,3196.6,154.5,13500,991.4
Graham Holdings,804,3186,352.1,15048,3000.6
Vroom,805,3184.3,-370.9,1807,364.7
Worthington Industries,806,3171.4,723.8,9000,2537.8
Calumet Specialty Products Partners,807,3148,-260.1,1450,1070.8
Xilinx,808,3147.6,646.5,4890,30450.5
TransUnion,809,3145,1387.1,10200,19882.6
Travel + Leisure,810,3134,308,16800,4966.2
Topgolf Callaway Brands,811,3133.4,322,24800,4337.1
Dycom Industries,812,3130.5,48.6,15024,2821
Columbia Sportswear,813,3126.4,354.1,8325,5840.4
Coherent,814,3105.9,297.6,22961,7708.2
Change Healthcare,815,3090.4,-112.2,15000,6799.3
Grocery Outlet Holding,816,3079.6,62.3,875,3148
AMC Networks,817,3077.6,250.6,1883,1721.7
Hyster-Yale Materials Handling,818,3075.7,-173,8100,561.2
ChampionX,819,3075,113.3,7000,4976.7
Comfort Systems USA,820,3073.6,143.3,13200,3200.5
EQT,821,3064.7,-1155.8,693,12955.4
Brown & Brown,822,3051.4,587.1,12023,20395.7
LGI Homes,823,3050.1,429.6,952,1884
Hyatt Hotels,824,3028,-222,44000,10498.3
Comerica,825,3024,1168,7442,11854.4
Energizer Holdings,826,3021.5,160.9,6000,2191.7
Hill-Rom Holdings,827,3018.7,248.5,10000,7331.7
Rackspace Technology,828,3009.5,-218.3,6600,2365.6
Verisk Analytics,829,2998.6,666.2,9367,34616.2
Spectrum Brands Holdings,830,2998.1,189.6,12100,3617.6
Euronet Worldwide,831,2995.4,70.7,8800,6658.2
TEGNA,832,2991.1,477,6200,4962.6
Vontier,833,2990.7,413,8500,4087.8
Cadence Design Systems,834,2988.2,696,9298,45781.7
Incyte,835,2986.3,948.6,2094,17577.6
Match Group,836,2983.3,277.7,2520,31007
Valvoline,837,2981,420,9800,5660.5
EnerSys,838,2977.9,143.4,11400,3076
Avaya Holdings,839,2973,-13,8063,1076
UWM Holdings,840,2970.3,98.4,8000,7223.5
Zions Bancorp.,841,2970,1129,9685,9958.2
Quad/Graphics,842,2960.4,37.8,15100,388.5
MKS Instruments,843,2949.6,551.4,6200,8327.6
Arista Networks,844,2948,840.9,2993,42773.4
Interactive Brokers Group,845,2938,308,2571,27961.7
Range Resources,846,2930.2,411.8,527,7964
Atkore,847,2928,587.9,3700,4415.6
Cheesecake Factory,848,2927.5,72.4,45800,2098.6
First Solar,849,2923.4,468.7,4800,8904.4
Bio-Rad Laboratories,850,2922.5,4245.9,7900,16982.2
Cooper Cos.,851,2922.5,2944.7,12000,20587.8
Envista Holdings,852,2922.4,340.5,11200,7882.5
Alight,853,2915,-60,16000,5542.2
Newmark Group,854,2906.4,750.7,6169,3009.9
PC Connection,855,2892.6,69.9,2542,1375.8
Host Hotels & Resorts,856,2890,-11,160,13875.9
Boston Properties,857,2888.6,505.2,743,20179.9
Western Midstream Partners,858,2877.2,916.3,1127,10177.4
Magellan Midstream Partners,859,2870.1,982,1715,10422.1
Hillenbrand,860,2864.8,249.9,10500,3216.2
Donaldson,861,2853.9,286.9,13100,6416.4
Moog,862,2852,157.2,14000,2814.6
Hawaiian Electric Industries,863,2850.4,246.2,3623,4630
Five Below,864,2848.4,278.8,13150,8825
Twilio,865,2841.8,-949.9,7867,29916.9
Univision Communciations,866,2841,133.7,,
Annaly Capital Management,867,2836.2,2389.9,171,10281
Fleetcor Technologies,868,2833.7,839.5,9700,19398.4
West Pharmaceutical Services,869,2831.6,661.8,10065,30508.2
Green Plains,870,2827.2,-66,859,1662.5
Cracker Barrel Old Country Store,871,2821.4,254.5,70000,2757.6
Virtu Financial,872,2811.5,476.9,973,3674
Teleflex,873,2809.6,485.4,14000,16642.1
Zynga,874,2800.5,-104.2,2952,10463.5
ATI,875,2799.8,-38.2,6300,3350.8
AppLovin,876,2793.1,35.4,1594,20696.8
Waters,877,2785.9,692.8,7800,18783.4
Mutual of America Life Insurance,878,2784.8,50.7,1146,
Hovnanian Enterprises,879,2782.9,607.8,1784,371.9
Amica Mutual Insurance,880,2777.9,117.1,3510,
Caleres,881,2777.6,137,7200,727.5
FTI Consulting,882,2776.2,235,6780,5400.1
Overstock.com,883,2773.8,389.4,1350,1897.8
Visteon,884,2773,41,10000,3056.1
G-III Apparel Group,885,2766.5,200.6,3250,1296.1
ITT,886,2765,316.3,9900,6415.4
IDEX,887,2764.8,449.4,7536,14591.6
Popular,888,2764.8,934.9,8351,6252.3
Roku,889,2764.6,242.4,3000,16949.3
Schnitzer Steel Industries,890,2758.6,165.1,3167,1445.2
Brookdale Senior Living,891,2758.3,-99.3,28545,1308.3
Werner Enterprises,892,2734.4,259.1,13525,2697.9
Americold Realty Trust,893,2714.8,-30.5,16275,7489.8
SkyWest,894,2713.5,111.9,15205,1457.6
Primerica,895,2709.7,373.4,3170,5326.8
McAfee,896,2701,849,2262,9764.5
Nu Skin Enterprises,897,2695.7,147.3,19600,2385.6
Copart,898,2692.5,936.5,8600,29798.8
PROG Holdings,899,2677.9,243.6,2023,1586.9
Splunk,900,2673.7,-1339.1,7000,23881.6
MRC Global,901,2666,-14,2600,995.2
Stericycle,902,2646.9,-27.8,15465,5415.5
Maxim Integrated Products,903,2632.5,827.3,7100,24490.9
Ensign Group,904,2627.5,194.7,25900,4958.3
SM Energy,905,2622.9,36.2,506,4746.5
Kaiser Aluminum,906,2622,-18.5,3957,1493.9
Federated Mutual Insurance,907,2612.2,320.1,2702,
F5,908,2603.4,331.2,6429,12691.2
Steelcase,909,2596.2,26.1,11400,1339.5
Encore Wire,910,2592.7,541.4,1440,2405
Guess,911,2591.6,171.4,12500,1305.5
Playtika Holding,912,2583,308.5,4000,7965.8
Pinterest,913,2578,316.4,3225,16196.9
WeWork,914,2570.1,-4439,4400,4937.4
ManTech International,915,2554,137,9800,3517.6
BrightView Holdings,916,2553.6,46.3,20150,1351.5
NortonLifeLock,917,2552,554,2800,15441.9
Deckers Outdoor,918,2545.6,382.6,3400,7457.8
Griffon,919,2541.7,79.2,6700,1127.8
AMC Entertainment Holdings,920,2527.9,-1269.1,17122,12733.4
Curtiss-Wright,921,2505.9,267.2,7800,5771
MYR Group,922,2498.3,85,7600,1594.5
Kontoor Brands,923,2475.9,195.4,14000,2325.3
Liberty Energy,924,2470.8,-179.2,3601,2757.9
Knights of Columbus,925,2467.5,130.3,749,
AdaptHealth,926,2465.1,156.2,10700,2146.6
MillerKnoll,927,2465.1,173.1,7600,2617.7
Equity Residential,928,2464,1332.9,2400,33802.5
DexCom,929,2448.5,154.7,6650,39152
Rollins,930,2424.3,350.7,16482,17260.7
Genesco,931,2422.1,114.9,11700,868.7
Bruker,932,2417.9,277.1,7765,9694.7
Joann,933,2417.6,56.7,13530,463.2
Wolverine World Wide,934,2414.9,68.6,4400,1836.1
Gray Television,935,2413,90,8801,2093.2
Affiliated Managers Group,936,2412.4,565.7,4050,5606.8
Summit Materials,937,2409.7,152.2,5500,3687.8
SLM,938,2409.3,1160.5,1450,5129.7
Belden,939,2408.1,63.9,7400,2492.5
Allison Transmission Holdings,940,2402,442,3400,3810.6
Element Solutions,941,2399.8,203.3,5300,5434.8
Portland General Electric,942,2396,244,2839,4940
REV Group,943,2380.8,44.4,6800,843.4
Acadia Healthcare,944,2376.9,190.6,19200,5891.3
Alexandria Real Estate Equities,945,2373.6,571.2,559,32188.6
Nordson,946,2362.2,454.4,6813,13157.1
NewMarket,947,2356.1,190.9,2104,3346.7
Ohio National Mutual,948,2346.5,-85.2,1082,
Stepan,949,2346,137.8,2439,2215.6
Valhi,950,2335.4,127.2,2847,828.8
Hilton Grand Vacations,951,2335,176,13000,6247.9
Cooper-Standard Holdings,952,2330.2,-322.8,21300,149
Etsy,953,2329.1,493.5,2402,12423
Crocs,954,2313.4,725.7,5770,4811
Olympic Steel,955,2312.3,121.1,1642,427.8
Signature Bank,956,2311.3,918.4,1854,18416.9
SBA Communications,957,2308.8,237.6,1596,37168.7
Murphy Oil,958,2300.1,-73.7,696,6275.3
Entegris,959,2298.9,409.1,6850,17830.9
AvalonBay Communities,960,2294.9,1004.3,2883,34710.3
Saia,961,2288.7,253.2,11600,6438.4
E.W. Scripps,962,2283.5,122.7,5600,1154
TTEC Holdings,963,2273.1,141,65000,3878
Sun Communities,964,2272.6,380.2,5455,20372.8
Alpha Metallurgical Resources,965,2258.6,288.8,3500,2447.5
GEO Group,966,2256.6,77.4,15800,809.8
Viasat,967,2256.1,3.7,5800,3630.4
Benchmark Electronics,968,2255.3,35.8,10900,881.4
Kar Auction Services,969,2251.6,66.5,8928,2187.3
TTM Technologies,970,2248.7,54.4,16100,1506.2
Kirby,971,2246.7,-247,5125,4345.9
Woodward,972,2245.8,208.6,7200,7882.4
Clear Channel Outdoor Holdings,973,2241.1,-433.8,4600,1630.9
Spire,974,2235.5,271.7,3710,3713.6
Vista Outdoor,975,2225.5,266,5900,2007.9
Surgery Partners,976,2225.1,-70.9,9600,4919.1
LHC Group,977,2219.6,115.7,23000,5229.6
Amedisys,978,2214.1,209.1,21000,5603.9
Century Aluminum,979,2212.5,-167.1,2512,2400.3
Arch Resources,980,2208,337.6,3303,2126.2
Aerojet Rocketdyne Holdings,981,2188,143.7,5000,3169.4
Sleep Number,982,2184.9,153.7,5388,1123.7
HNI,983,2184.4,59.8,8000,1568.7
Pure Storage,984,2180.8,-143.3,4200,10238
TrueBlue,985,2173.6,61.6,6400,995.6
Party City Holdco,986,2171.1,-6.5,11450,402.6
Dun & Bradstreet Holdings,987,2165.6,-71.7,6296,7554
Dropbox,988,2157.9,335.8,2667,8873.5
New Jersey Resources,989,2156.6,117.9,1251,4405.4
Acushnet Holdings,990,2147.9,178.9,6500,2914
Harsco,991,2147,-3.2,12000,969.7
Beazer Homes USA,992,2140.3,122,1052,478.8
Chemed,993,2139.3,268.6,14137,7592.5
Genesis Energy,994,2125.5,-165.1,1898,1435.4
BWX Technologies,995,2124.1,305.9,6600,4925.6
Vizio Holding,996,2124,-39.4,800,1705.1
1-800-Flowers.com,997,2122.2,118.7,4800,830
Cowen,998,2112.8,295.6,1534,1078
Ashland,999,2111,220,4100,5601.9
DocuSign,1000,2107.2,-70,7461,21302.8
